accountid,excludeitembillingfromrevenueaccounting,updateddate,ddrecognizedrevglaccnumber,createdbyid,salesorderlineid,chargenumber,drawdownoriginalchargeid,fundenddate,transactiondate,usagechargenumber,dailyamount,excludeitembookingfromrevenueaccounting,dailyquantity,ddadjustmentrevglaccnumber,updatedbyid,usagechargename,subscriptionname,chargesegment,orgid,originalrateplanchargeid,fundstartdate,type,unitprice,fundid,createddate,id,drawdownchargesegment,companycode
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T14:49:55-04:00,,0571e8459ca54883a472117b47b5119a,555c6641ba398c6887b8e285fdd70427.1,C-00000562,,,2025-01-05,C-00000562,0.000000000,false,0.000000000,,0571e8459ca54883a472117b47b5119a,PPDD Days,A-S00000212,1,,555c6641ba398c6887b8e285fdd70427,,Unbilled Usage,,,2025-08-25T14:49:53-04:00,8a8aa00998d3e2940198e290bf7f0643,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-09-01,C-00000568,1059.120000000,false,11.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6a34fdd,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-27T15:15:03-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bab04ce.1,C-00000566,,,2025-12-01,C-00000566,0.000000000,false,0.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bab04ce,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6ab4fde,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-07-01,C-00000568,866.550000000,false,9.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6ab4fdf,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-12-01,C-00000568,385.140000000,false,4.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6b44fe0,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-08-01,C-00000568,673.990000000,false,7.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6bc4fe1,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-11-01,C-00000568,385.140000000,false,4.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6c54fe2,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-25T15:27:00-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bac04d0.1,C-00000568,,,2025-10-01,C-00000568,192.570000000,false,2.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bac04d0,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6cd4fe3,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-27T15:15:03-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bab04ce.1,C-00000566,,,2025-10-01,C-00000566,0.000000000,false,0.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bab04ce,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6d64fe4,,10004040
8a8aa33898c6889e0198c8c31de3009c,false,2025-08-27T15:15:03-04:00,,0571e8459ca54883a472117b47b5119a,555cf40d5f798c674a68e2a72bab04ce.1,C-00000566,,,2025-09-01,C-00000566,0.000000000,false,0.000000000,,0571e8459ca54883a472117b47b5119a,Days Overage,A-S00000213,1,,555cf40d5f798c674a68e2a72bab04ce,,Unbilled Usage,,,2025-08-25T15:26:59-04:00,8a8aa00998d3e2940198e2b2b6de4fe5,,10004040
